Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,0,1,0.21746,0.19053,100000,19053,87616,3776166,37.76,37.75
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,1,4,0.04719,0.1678,80947,13583,287820,3688551,45.57,45.65
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,5,5,0.00795,0.03895,67364,2624,330260,3400730,50.48,50.45
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,10,5,0.00411,0.02036,64740,1318,320405,3070470,47.43,47.4
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,15,5,0.00586,0.02887,63422,1831,312532,2750065,43.36,43.35
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,20,5,0.00885,0.0433,61591,2667,301288,2437533,39.58,39.56
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,25,5,0.00888,0.04345,58924,2560,288220,2136245,36.25,36.25
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,30,5,0.00918,0.04489,56364,2530,275495,1848025,32.79,32.78
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,35,5,0.01032,0.05032,53834,2709,262398,1572530,29.21,29.21
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,40,5,0.01245,0.06038,51125,3087,247908,1310133,25.63,25.62
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,45,5,0.0153,0.07369,48038,3540,231340,1062225,22.11,22.11
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,50,5,0.02008,0.09562,44498,4255,211852,830885,18.67,18.67
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,55,5,0.02777,0.12984,40243,5225,188152,619033,15.38,15.38
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,60,5,0.04112,0.18642,35018,6528,158770,430880,12.3,12.3
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,65,5,0.06197,0.26827,28490,7643,123342,272110,9.55,9.55
BOL,0,0,0,0,1,4000.8,1950,1950,4,1,70,5,0.10214,0.40682,20847,8481,83032,148768,7.14,7.13
